18:04:37.548 **********  A1  **********
18:04:38.111 54, 1647270278111, thing(3,1,obstacle,)
18:04:38.111 54, 1647270278111, energy(100)
18:04:38.111 54, 1647270278111, name(agentA1)
18:04:38.111 54, 1647270278111, team(A)
18:04:38.111 54, 1647270278111, deadline(1647270281996)
18:04:38.112 54, 1647270278111, teamSize(1)
18:04:38.115 $$$$$ RULE EXECUTION : When previous move is successful : move randomly : n
18:04:38.339 **********  A1  **********
18:04:38.339 57, 1647270278339, simStart
18:04:38.339 57, 1647270278339, thing(0,5,obstacle,)
18:04:38.340 57, 1647270278340, lastAction(move)
18:04:38.340 57, 1647270278340, thing(-4,-1,obstacle,)
18:04:38.340 57, 1647270278340, deactivated(false)
18:04:38.340 57, 1647270278340, deadline(1647270282236)
18:04:38.341 57, 1647270278341, thing(-2,-2,obstacle,)
18:04:38.341 57, 1647270278341, lastActionParams([n])
18:04:38.341 57, 1647270278341, thing(2,2,obstacle,)
18:04:38.341 57, 1647270278341, thing(2,0,obstacle,)
18:04:38.341 57, 1647270278341, thing(2,-2,obstacle,)
18:04:38.341 57, 1647270278341, thing(0,-5,obstacle,)
18:04:38.342 57, 1647270278341, role(worker,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[2,1,1,0],0.3,1)
18:04:38.342 57, 1647270278342, thing(4,-1,obstacle,)
18:04:38.342 57, 1647270278342, thing(4,1,obstacle,)
18:04:38.342 57, 1647270278342, task(task0,137,10,[req(0,1,b2)])
18:04:38.342 57, 1647270278342, step(3)
18:04:38.342 57, 1647270278342, requestAction
18:04:38.342 57, 1647270278342, role(explorer,7,[rotate,move,adopt,clear,detach,survey,skip,attach],[3,0],0.3,1)
18:04:38.342 57, 1647270278342, thing(-1,4,obstacle,)
18:04:38.343 57, 1647270278342, thing(-5,0,obstacle,)
18:04:38.343 57, 1647270278343, lastActionResult(success)
18:04:38.343 57, 1647270278343, thing(1,3,obstacle,)
18:04:38.343 57, 1647270278343, thing(-3,-1,obstacle,)
18:04:38.343 57, 1647270278343, thing(3,-2,obstacle,)
18:04:38.343 57, 1647270278343, thing(3,0,obstacle,)
18:04:38.343 57, 1647270278343, thing(3,2,obstacle,)
18:04:38.343 57, 1647270278343, task(task1,119,40,[req(0,1,b1),req(69,1,b1)])
18:04:38.343 57, 1647270278343, role(default,5,[rotate,move,adopt,clear,detach,skip],[1],0.3,1)
18:04:38.344 57, 1647270278343, thing(-4,0,obstacle,)
18:04:38.344 57, 1647270278344, thing(0,4,obstacle,)
18:04:38.344 57, 1647270278344, thing(-2,3,obstacle,)
18:04:38.344 57, 1647270278344, steps(750)
18:04:38.344 57, 1647270278344, thing(2,3,obstacle,)
18:04:38.344 57, 1647270278344, thing(2,1,obstacle,)
18:04:38.344 57, 1647270278344, thing(-2,-1,obstacle,)
18:04:38.344 57, 1647270278344, thing(2,-1,obstacle,)
18:04:38.345 57, 1647270278345, thing(4,0,obstacle,)
18:04:38.345 57, 1647270278345, role(digger,5,[rotate,move,adopt,clear,detach,skip],[1,0],1.0,5)
18:04:38.345 57, 1647270278345, role(constructor,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[1],0.3,1)
18:04:38.345 57, 1647270278345, thing(0,0,entity,A)
18:04:38.345 57, 1647270278345, actionID(3)
18:04:38.345 57, 1647270278345, timestamp(1647270278231)
18:04:38.345 57, 1647270278345, role(default)
18:04:38.345 57, 1647270278345, thing(-3,0,obstacle,)
18:04:38.346 57, 1647270278346, thing(-1,3,obstacle,)
18:04:38.346 57, 1647270278346, thing(1,4,obstacle,)
18:04:38.346 57, 1647270278346, norm(n1,10,198,[requirement(role,digger,1,)],14)
18:04:38.346 57, 1647270278346, score(0)
18:04:38.346 57, 1647270278346, thing(-3,-2,obstacle,)
18:04:38.346 57, 1647270278346, thing(5,0,obstacle,)
18:04:38.346 57, 1647270278346, thing(3,-1,obstacle,)
18:04:38.346 57, 1647270278346, thing(3,1,obstacle,)
18:04:38.346 57, 1647270278346, energy(100)
18:04:38.347 57, 1647270278347, name(agentA1)
18:04:38.347 57, 1647270278347, team(A)
18:04:38.347 57, 1647270278347, teamSize(1)
18:04:38.349 $$$$$ RULE EXECUTION : When previous move is successful : move randomly : n
18:04:38.572 **********  A1  **********
18:04:38.573 60, 1647270278573, simStart
18:04:38.573 60, 1647270278573, thing(0,5,obstacle,)
18:04:38.573 60, 1647270278573, lastAction(move)
18:04:38.573 60, 1647270278573, thing(-4,-1,obstacle,)
18:04:38.573 60, 1647270278573, deactivated(false)
18:04:38.574 60, 1647270278574, thing(-4,1,obstacle,)
18:04:38.574 60, 1647270278574, lastActionParams([n])
18:04:38.574 60, 1647270278574, thing(2,2,obstacle,)
18:04:38.574 60, 1647270278574, thing(-2,0,obstacle,)
18:04:38.574 60, 1647270278574, thing(2,0,obstacle,)
18:04:38.574 60, 1647270278574, thing(0,-5,obstacle,)
18:04:38.575 60, 1647270278575, role(worker,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[2,1,1,0],0.3,1)
18:04:38.575 60, 1647270278575, thing(4,-1,obstacle,)
18:04:38.575 60, 1647270278575, thing(4,1,obstacle,)
18:04:38.575 60, 1647270278575, step(4)
18:04:38.575 60, 1647270278575, task(task0,137,10,[req(0,1,b2)])
18:04:38.575 60, 1647270278575, requestAction
18:04:38.576 60, 1647270278576, role(explorer,7,[rotate,move,adopt,clear,detach,survey,skip,attach],[3,0],0.3,1)
18:04:38.576 60, 1647270278576, thing(-1,4,obstacle,)
18:04:38.576 60, 1647270278576, thing(-3,1,obstacle,)
18:04:38.576 60, 1647270278576, thing(-5,0,obstacle,)
18:04:38.576 60, 1647270278576, lastActionResult(success)
18:04:38.576 60, 1647270278576, thing(-3,-1,obstacle,)
18:04:38.576 60, 1647270278576, thing(3,-2,obstacle,)
18:04:38.576 60, 1647270278576, thing(3,0,obstacle,)
18:04:38.577 60, 1647270278576, thing(3,2,obstacle,)
18:04:38.577 60, 1647270278577, task(task1,119,40,[req(0,1,b1),req(69,1,b1)])
18:04:38.577 60, 1647270278577, role(default,5,[rotate,move,adopt,clear,detach,skip],[1],0.3,1)
18:04:38.577 60, 1647270278577, thing(-4,0,obstacle,)
18:04:38.577 60, 1647270278577, steps(750)
18:04:38.577 60, 1647270278577, thing(2,3,obstacle,)
18:04:38.577 60, 1647270278577, timestamp(1647270278513)
18:04:38.577 60, 1647270278577, thing(2,1,obstacle,)
18:04:38.577 60, 1647270278577, thing(-2,-1,obstacle,)
18:04:38.578 60, 1647270278578, thing(2,-1,obstacle,)
18:04:38.578 60, 1647270278578, thing(0,-4,obstacle,)
18:04:38.578 60, 1647270278578, thing(4,0,obstacle,)
18:04:38.578 60, 1647270278578, role(digger,5,[rotate,move,adopt,clear,detach,skip],[1,0],1.0,5)
18:04:38.578 60, 1647270278578, role(constructor,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[1],0.3,1)
18:04:38.578 60, 1647270278578, thing(0,0,entity,A)
18:04:38.578 60, 1647270278578, actionID(4)
18:04:38.578 60, 1647270278578, role(default)
18:04:38.579 60, 1647270278578, thing(-3,0,obstacle,)
18:04:38.579 60, 1647270278579, thing(1,4,obstacle,)
18:04:38.579 60, 1647270278579, norm(n1,10,198,[requirement(role,digger,1,)],14)
18:04:38.579 60, 1647270278579, score(0)
18:04:38.579 60, 1647270278579, thing(-3,-2,obstacle,)
18:04:38.579 60, 1647270278579, thing(1,-4,obstacle,)
18:04:38.579 60, 1647270278579, thing(3,-1,obstacle,)
18:04:38.579 60, 1647270278579, thing(3,1,obstacle,)
18:04:38.579 60, 1647270278579, energy(100)
18:04:38.580 60, 1647270278580, name(agentA1)
18:04:38.580 60, 1647270278580, team(A)
18:04:38.580 60, 1647270278580, deadline(1647270282514)
18:04:38.580 60, 1647270278580, teamSize(1)
18:04:38.582 $$$$$ RULE EXECUTION : When previous move is successful : move randomly : n
18:04:38.792 **********  A1  **********
18:04:38.793 63, 1647270278793, timestamp(1647270278712)
18:04:38.793 63, 1647270278793, simStart
18:04:38.793 63, 1647270278793, lastAction(move)
18:04:38.793 63, 1647270278793, thing(-4,-1,obstacle,)
18:04:38.793 63, 1647270278793, deactivated(false)
18:04:38.793 63, 1647270278793, thing(-4,1,obstacle,)
18:04:38.793 63, 1647270278793, lastActionParams([n])
18:04:38.793 63, 1647270278793, thing(2,2,obstacle,)
18:04:38.794 63, 1647270278794, thing(-2,0,obstacle,)
18:04:38.794 63, 1647270278794, thing(2,0,obstacle,)
18:04:38.794 63, 1647270278794, thing(0,-3,obstacle,)
18:04:38.794 63, 1647270278794, thing(0,-5,obstacle,)
18:04:38.794 63, 1647270278794, role(worker,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[2,1,1,0],0.3,1)
18:04:38.794 63, 1647270278794, thing(4,-1,obstacle,)
18:04:38.794 63, 1647270278794, thing(4,1,obstacle,)
18:04:38.794 63, 1647270278794, task(task0,137,10,[req(0,1,b2)])
18:04:38.794 63, 1647270278794, step(5)
18:04:38.794 63, 1647270278794, requestAction
18:04:38.795 63, 1647270278794, role(explorer,7,[rotate,move,adopt,clear,detach,survey,skip,attach],[3,0],0.3,1)
18:04:38.795 63, 1647270278795, deadline(1647270282713)
18:04:38.795 63, 1647270278795, thing(-3,1,obstacle,)
18:04:38.795 63, 1647270278795, thing(-5,0,obstacle,)
18:04:38.795 63, 1647270278795, lastActionResult(success)
18:04:38.795 63, 1647270278795, thing(-3,-1,obstacle,)
18:04:38.795 63, 1647270278795, thing(-1,-4,obstacle,)
18:04:38.795 63, 1647270278795, thing(1,-3,obstacle,)
18:04:38.795 63, 1647270278795, thing(3,-2,obstacle,)
18:04:38.795 63, 1647270278795, thing(3,0,obstacle,)
18:04:38.796 63, 1647270278795, thing(3,2,obstacle,)
18:04:38.796 63, 1647270278796, task(task1,119,40,[req(0,1,b1),req(69,1,b1)])
18:04:38.796 63, 1647270278796, role(default,5,[rotate,move,adopt,clear,detach,skip],[1],0.3,1)
18:04:38.796 63, 1647270278796, thing(-4,0,obstacle,)
18:04:38.796 63, 1647270278796, thing(-2,1,obstacle,)
18:04:38.796 63, 1647270278796, steps(750)
18:04:38.796 63, 1647270278796, thing(2,3,obstacle,)
18:04:38.796 63, 1647270278796, thing(2,1,obstacle,)
18:04:38.797 63, 1647270278796, thing(0,-4,obstacle,)
18:04:38.797 63, 1647270278797, thing(2,-3,obstacle,)
18:04:38.797 63, 1647270278797, thing(4,0,obstacle,)
18:04:38.797 63, 1647270278797, role(digger,5,[rotate,move,adopt,clear,detach,skip],[1,0],1.0,5)
18:04:38.797 63, 1647270278797, role(constructor,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[1],0.3,1)
18:04:38.797 63, 1647270278797, thing(0,0,entity,A)
18:04:38.797 63, 1647270278797, role(default)
18:04:38.797 63, 1647270278797, thing(-3,0,obstacle,)
18:04:38.798 63, 1647270278797, actionID(5)
18:04:38.798 63, 1647270278798, thing(-3,2,obstacle,)
18:04:38.798 63, 1647270278798, norm(n1,10,198,[requirement(role,digger,1,)],14)
18:04:38.798 63, 1647270278798, score(0)
18:04:38.798 63, 1647270278798, thing(-3,-2,obstacle,)
18:04:38.798 63, 1647270278798, thing(1,-4,obstacle,)
18:04:38.798 63, 1647270278798, thing(3,-1,obstacle,)
18:04:38.798 63, 1647270278798, thing(3,1,obstacle,)
18:04:38.798 63, 1647270278798, energy(100)
18:04:38.799 63, 1647270278799, name(agentA1)
18:04:38.799 63, 1647270278799, team(A)
18:04:38.799 63, 1647270278799, teamSize(1)
18:04:38.800 $$$$$ RULE EXECUTION : When previous move is successful : move randomly : n
18:04:38.905 **********  A1  **********
18:04:38.905 65, 1647270278905, simStart
18:04:38.905 65, 1647270278905, lastAction(move)
18:04:38.905 65, 1647270278905, thing(-4,-1,obstacle,)
18:04:38.905 65, 1647270278905, thing(-2,2,obstacle,)
18:04:38.906 65, 1647270278906, deactivated(false)
18:04:38.906 65, 1647270278906, thing(-4,1,obstacle,)
18:04:38.906 65, 1647270278906, lastActionParams([n])
18:04:38.906 65, 1647270278906, thing(2,2,obstacle,)
18:04:38.906 65, 1647270278906, thing(0,-3,obstacle,)
18:04:38.907 65, 1647270278906, thing(0,-5,obstacle,)
18:04:38.908 65, 1647270278907, timestamp(1647270278826)
18:04:38.910 65, 1647270278909, thing(2,-2,obstacle,)
18:04:38.910 65, 1647270278910, role(worker,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[2,1,1,0],0.3,1)
18:04:38.910 65, 1647270278910, thing(4,-1,obstacle,)
18:04:38.910 65, 1647270278910, step(6)
18:04:38.910 65, 1647270278910, thing(4,1,obstacle,)
18:04:38.910 65, 1647270278910, task(task0,137,10,[req(0,1,b2)])
18:04:38.910 65, 1647270278910, requestAction
18:04:38.911 65, 1647270278911, role(explorer,7,[rotate,move,adopt,clear,detach,survey,skip,attach],[3,0],0.3,1)
18:04:38.911 65, 1647270278911, thing(-3,1,obstacle,)
18:04:38.911 65, 1647270278911, thing(-5,0,obstacle,)
18:04:38.911 65, 1647270278911, lastActionResult(success)
18:04:38.911 65, 1647270278911, thing(-3,-1,obstacle,)
18:04:38.911 65, 1647270278911, thing(-1,-4,obstacle,)
18:04:38.911 65, 1647270278911, thing(1,-3,obstacle,)
18:04:38.911 65, 1647270278911, thing(3,-2,obstacle,)
18:04:38.911 65, 1647270278911, deadline(1647270282826)
18:04:38.911 65, 1647270278911, thing(3,0,obstacle,)
18:04:38.912 65, 1647270278912, thing(3,2,obstacle,)
18:04:38.912 65, 1647270278912, task(task1,119,40,[req(0,1,b1),req(69,1,b1)])
18:04:38.912 65, 1647270278912, role(default,5,[rotate,move,adopt,clear,detach,skip],[1],0.3,1)
18:04:38.912 65, 1647270278912, thing(-4,0,obstacle,)
18:04:38.912 65, 1647270278912, thing(-2,1,obstacle,)
18:04:38.912 65, 1647270278912, steps(750)
18:04:38.912 65, 1647270278912, thing(2,3,obstacle,)
18:04:38.912 65, 1647270278912, thing(-2,-3,obstacle,)
18:04:38.912 65, 1647270278912, thing(2,1,obstacle,)
18:04:38.912 65, 1647270278912, thing(0,-2,obstacle,)
18:04:38.913 65, 1647270278912, thing(0,-4,obstacle,)
18:04:38.913 65, 1647270278913, thing(2,-3,obstacle,)
18:04:38.913 65, 1647270278913, thing(4,0,obstacle,)
18:04:38.913 65, 1647270278913, role(digger,5,[rotate,move,adopt,clear,detach,skip],[1,0],1.0,5)
18:04:38.913 65, 1647270278913, role(constructor,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[1],0.3,1)
18:04:38.913 65, 1647270278913, thing(0,0,entity,A)
18:04:38.913 65, 1647270278913, actionID(6)
18:04:38.913 65, 1647270278913, role(default)
