23:31:16.159 **********  A1  **********
23:31:20.857 83, 1647117080857, deadline(1647117084761)
23:31:20.857 83, 1647117080857, thing(-2,1,obstacle,)
23:31:20.857 83, 1647117080857, thing(0,4,obstacle,)
23:31:20.857 83, 1647117080857, thing(-2,3,obstacle,)
23:31:20.857 83, 1647117080857, steps(750)
23:31:20.857 83, 1647117080857, thing(0,2,obstacle,)
23:31:20.857 83, 1647117080857, thing(2,1,obstacle,)
23:31:20.858 83, 1647117080858, thing(2,-1,obstacle,)
23:31:20.858 83, 1647117080858, thing(2,-3,obstacle,)
23:31:20.858 83, 1647117080858, thing(4,0,obstacle,)
23:31:20.858 83, 1647117080858, role(digger,5,[rotate,move,adopt,clear,detach,skip],[1,0],1.0,5)
23:31:20.858 83, 1647117080858, role(constructor,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[1],0.3,1)
23:31:20.858 83, 1647117080858, thing(0,0,entity,A)
23:31:20.858 83, 1647117080858, lastAction(no_action)
23:31:20.859 83, 1647117080859, actionID(2)
23:31:20.859 83, 1647117080859, timestamp(1647117080761)
23:31:20.859 83, 1647117080859, thing(-3,0,obstacle,)
23:31:20.859 83, 1647117080859, role(default)
23:31:20.859 83, 1647117080859, thing(1,4,obstacle,)
23:31:20.859 83, 1647117080859, thing(-1,3,obstacle,)
23:31:20.859 83, 1647117080859, thing(-3,2,obstacle,)
23:31:20.859 83, 1647117080859, thing(1,2,obstacle,)
23:31:20.860 83, 1647117080860, thing(-1,1,obstacle,)
23:31:20.860 83, 1647117080860, norm(n1,10,198,[requirement(role,digger,1,)],14)
23:31:20.860 83, 1647117080860, score(0)
23:31:20.860 83, 1647117080860, thing(1,0,obstacle,)
23:31:20.861 83, 1647117080861, thing(3,-1,obstacle,)
23:31:20.861 83, 1647117080861, thing(5,0,obstacle,)
23:31:20.861 83, 1647117080861, thing(3,1,obstacle,)
23:31:20.861 83, 1647117080861, energy(100)
23:31:20.862 83, 1647117080861, name(agentA1)
23:31:20.862 83, 1647117080862, team(A)
23:31:20.862 83, 1647117080862, teamSize(1)
23:31:24.997 **********  A1  **********
23:31:24.998 122, 1647117084998, simStart
23:31:24.999 122, 1647117084999, thing(0,5,obstacle,)
23:31:25.000 122, 1647117084999, thing(-2,2,obstacle,)
23:31:25.000 122, 1647117085000, thing(0,3,obstacle,)
23:31:25.001 122, 1647117085000, thing(-4,1,obstacle,)
23:31:25.001 122, 1647117085001, deactivated(false)
23:31:25.001 122, 1647117085001, thing(0,1,obstacle,)
23:31:25.002 122, 1647117085001, thing(-2,0,obstacle,)
23:31:25.002 122, 1647117085002, thing(2,0,obstacle,)
23:31:25.002 122, 1647117085002, thing(2,-2,obstacle,)
23:31:25.002 122, 1647117085002, role(worker,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[2,1,1,0],0.3,1)
23:31:25.003 122, 1647117085003, thing(4,-1,obstacle,)
23:31:25.003 122, 1647117085003, thing(4,1,obstacle,)
23:31:25.003 122, 1647117085003, task(task0,137,10,[req(0,1,b2)])
23:31:25.004 122, 1647117085004, timestamp(1647117084898)
23:31:25.004 122, 1647117085004, step(3)
23:31:25.004 122, 1647117085004, lastActionParams([])
23:31:25.005 122, 1647117085005, requestAction
23:31:25.005 122, 1647117085005, role(explorer,7,[rotate,move,adopt,clear,detach,survey,skip,attach],[3,0],0.3,1)
23:31:25.005 122, 1647117085005, thing(-1,4,obstacle,)
23:31:25.006 122, 1647117085006, thing(-3,1,obstacle,)
23:31:25.006 122, 1647117085006, thing(-1,2,obstacle,)
23:31:25.006 122, 1647117085006, thing(-5,0,obstacle,)
23:31:25.007 122, 1647117085006, lastActionResult(success)
23:31:25.007 122, 1647117085007, thing(1,3,obstacle,)
23:31:25.007 122, 1647117085007, thing(-1,0,obstacle,)
23:31:25.008 122, 1647117085007, thing(1,1,obstacle,)
23:31:25.008 122, 1647117085008, thing(3,-2,obstacle,)
23:31:25.008 122, 1647117085008, thing(3,0,obstacle,)
23:31:25.009 122, 1647117085009, task(task1,119,40,[req(0,1,b1),req(69,1,b1)])
23:31:25.009 122, 1647117085009, role(default,5,[rotate,move,adopt,clear,detach,skip],[1],0.3,1)
23:31:25.010 122, 1647117085009, thing(-4,0,obstacle,)
23:31:25.010 122, 1647117085010, thing(-2,1,obstacle,)
23:31:25.010 122, 1647117085010, thing(0,4,obstacle,)
23:31:25.011 122, 1647117085011, thing(-2,3,obstacle,)
23:31:25.011 122, 1647117085011, steps(750)
23:31:25.012 122, 1647117085012, thing(0,2,obstacle,)
23:31:25.012 122, 1647117085012, thing(2,1,obstacle,)
23:31:25.013 122, 1647117085013, thing(2,-1,obstacle,)
23:31:25.013 122, 1647117085013, thing(2,-3,obstacle,)
23:31:25.014 122, 1647117085013, thing(4,0,obstacle,)
23:31:25.014 122, 1647117085014, role(digger,5,[rotate,move,adopt,clear,detach,skip],[1,0],1.0,5)
23:31:25.015 122, 1647117085014, role(constructor,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[1],0.3,1)
23:31:25.015 122, 1647117085015, thing(0,0,entity,A)
23:31:25.016 122, 1647117085015, lastAction(no_action)
23:31:25.016 122, 1647117085016, actionID(3)
23:31:25.017 122, 1647117085016, thing(-3,0,obstacle,)
23:31:25.017 122, 1647117085017, role(default)
23:31:25.017 122, 1647117085017, thing(1,4,obstacle,)
23:31:25.018 122, 1647117085017, thing(-1,3,obstacle,)
23:31:25.018 122, 1647117085018, thing(-3,2,obstacle,)
23:31:25.018 122, 1647117085018, thing(1,2,obstacle,)
23:31:25.018 122, 1647117085018, thing(-1,1,obstacle,)
23:31:25.019 122, 1647117085019, norm(n1,10,198,[requirement(role,digger,1,)],14)
23:31:25.020 122, 1647117085019, score(0)
23:31:25.020 122, 1647117085020, thing(1,0,obstacle,)
23:31:25.020 122, 1647117085020, deadline(1647117088899)
23:31:25.021 122, 1647117085021, thing(3,-1,obstacle,)
23:31:25.021 122, 1647117085021, thing(5,0,obstacle,)
23:31:25.021 122, 1647117085021, thing(3,1,obstacle,)
23:31:25.022 122, 1647117085022, energy(100)
23:31:25.022 122, 1647117085022, name(agentA1)
23:31:25.022 122, 1647117085022, team(A)
23:31:25.023 122, 1647117085022, teamSize(1)
23:31:29.157 **********  A1  **********
23:31:29.158 161, 1647117089158, simStart
23:31:29.159 161, 1647117089158, thing(0,5,obstacle,)
23:31:29.159 161, 1647117089159, thing(-2,2,obstacle,)
23:31:29.160 161, 1647117089160, thing(0,3,obstacle,)
23:31:29.160 161, 1647117089160, thing(-4,1,obstacle,)
23:31:29.160 161, 1647117089160, deactivated(false)
23:31:29.161 161, 1647117089160, thing(0,1,obstacle,)
23:31:29.161 161, 1647117089161, thing(-2,0,obstacle,)
23:31:29.161 161, 1647117089161, thing(2,0,obstacle,)
23:31:29.161 161, 1647117089161, thing(2,-2,obstacle,)
23:31:29.162 161, 1647117089162, role(worker,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[2,1,1,0],0.3,1)
23:31:29.162 161, 1647117089162, thing(4,-1,obstacle,)
23:31:29.162 161, 1647117089162, thing(4,1,obstacle,)
23:31:29.163 161, 1647117089163, step(4)
23:31:29.163 161, 1647117089163, task(task0,137,10,[req(0,1,b2)])
23:31:29.163 161, 1647117089163, lastActionParams([])
23:31:29.164 161, 1647117089163, requestAction
23:31:29.164 161, 1647117089164, role(explorer,7,[rotate,move,adopt,clear,detach,survey,skip,attach],[3,0],0.3,1)
23:31:29.164 161, 1647117089164, deadline(1647117093054)
23:31:29.164 161, 1647117089164, thing(-1,4,obstacle,)
23:31:29.165 161, 1647117089165, thing(-3,1,obstacle,)
23:31:29.165 161, 1647117089165, thing(-1,2,obstacle,)
23:31:29.165 161, 1647117089165, thing(-5,0,obstacle,)
23:31:29.165 161, 1647117089165, lastActionResult(success)
23:31:29.166 161, 1647117089166, thing(1,3,obstacle,)
23:31:29.166 161, 1647117089166, thing(-1,0,obstacle,)
23:31:29.166 161, 1647117089166, thing(1,1,obstacle,)
23:31:29.167 161, 1647117089166, thing(3,-2,obstacle,)
23:31:29.167 161, 1647117089167, thing(3,0,obstacle,)
23:31:29.167 161, 1647117089167, task(task1,119,40,[req(0,1,b1),req(69,1,b1)])
23:31:29.167 161, 1647117089167, role(default,5,[rotate,move,adopt,clear,detach,skip],[1],0.3,1)
23:31:29.168 161, 1647117089168, thing(-4,0,obstacle,)
23:31:29.168 161, 1647117089168, thing(-2,1,obstacle,)
23:31:29.168 161, 1647117089168, thing(0,4,obstacle,)
23:31:29.169 161, 1647117089169, thing(-2,3,obstacle,)
23:31:29.169 161, 1647117089169, steps(750)
23:31:29.169 161, 1647117089169, thing(0,2,obstacle,)
23:31:29.169 161, 1647117089169, thing(2,1,obstacle,)
23:31:29.170 161, 1647117089170, thing(2,-1,obstacle,)
23:31:29.170 161, 1647117089170, thing(2,-3,obstacle,)
23:31:29.170 161, 1647117089170, thing(4,0,obstacle,)
23:31:29.171 161, 1647117089170, role(digger,5,[rotate,move,adopt,clear,detach,skip],[1,0],1.0,5)
23:31:29.171 161, 1647117089171, role(constructor,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[1],0.3,1)
23:31:29.172 161, 1647117089171, thing(0,0,entity,A)
23:31:29.172 161, 1647117089172, timestamp(1647117089054)
23:31:29.172 161, 1647117089172, lastAction(no_action)
23:31:29.172 161, 1647117089172, actionID(4)
23:31:29.173 161, 1647117089173, thing(-3,0,obstacle,)
23:31:29.173 161, 1647117089173, role(default)
23:31:29.174 161, 1647117089174, thing(1,4,obstacle,)
23:31:29.174 161, 1647117089174, thing(-1,3,obstacle,)
23:31:29.174 161, 1647117089174, thing(-3,2,obstacle,)
23:31:29.175 161, 1647117089174, thing(1,2,obstacle,)
23:31:29.175 161, 1647117089175, thing(-1,1,obstacle,)
23:31:29.176 161, 1647117089175, norm(n1,10,198,[requirement(role,digger,1,)],14)
23:31:29.176 161, 1647117089176, score(0)
23:31:29.176 161, 1647117089176, thing(1,0,obstacle,)
23:31:29.177 161, 1647117089176, thing(3,-1,obstacle,)
23:31:29.177 161, 1647117089177, thing(5,0,obstacle,)
23:31:29.177 161, 1647117089177, thing(3,1,obstacle,)
23:31:29.177 161, 1647117089177, energy(100)
23:31:29.178 161, 1647117089178, name(agentA1)
23:31:29.178 161, 1647117089178, team(A)
23:31:29.178 161, 1647117089178, teamSize(1)
